c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,O,R,Y,Y,G,P,B,R,a
O,P,Y,R,B,G,Y,B,R,a
B,O,B,R,R,Y,Y,P,G,a
B,O,G,R,R,Y,B,P,Y,a
B,B,R,Y,Y,G,R,P,O,a
B,G,O,P,B,Y,Y,R,R,a
B,B,P,R,Y,G,Y,O,R,a
B,G,Y,P,O,Y,B,R,R,a
B,R,R,Y,B,G,O,P,Y,a
B,G,B,P,R,R,Y,Y,O,a
P,G,Y,R,B,O,Y,B,R,a
B,O,Y,P,G,Y,B,R,R,a
B,G,Y,O,P,R,Y,R,B,a
B,B,Y,O,G,Y,R,P,R,a
B,O,Y,P,B,R,R,Y,G,a
B,B,G,R,Y,P,R,O,Y,a
B,O,R,P,G,Y,R,Y,B,a
B,P,R,R,Y,B,Y,G,O,a
B,B,Y,O,R,R,G,P,Y,a
B,P,R,Y,O,G,B,Y,R,a
G,O,Y,R,B,B,R,P,Y,a
B,P,B,R,R,Y,G,O,Y,a
B,G,Y,O,P,Y,R,B,R,a
B,B,Y,R,P,G,Y,O,R,a
P,G,R,O,B,R,Y,B,Y,a
B,P,G,R,R,O,B,Y,Y,a
B,B,Y,Y,P,G,R,O,R,a
B,B,R,Y,Y,P,G,O,R,a
B,P,R,Y,Y,B,O,G,R,a
B,B,Y,P,Y,O,R,R,G,a
B,B,P,G,R,Y,Y,O,R,a
B,G,B,P,Y,R,O,Y,R,a
B,B,R,Y,Y,O,R,P,G,a
B,G,Y,P,O,B,Y,R,R,a
B,G,O,P,Y,R,B,Y,R,a
B,B,Y,P,Y,G,R,R,O,a
B,B,P,Y,R,O,R,G,Y,a
B,B,Y,O,R,P,G,Y,R,a
B,B,Y,R,R,O,Y,P,G,a
B,R,G,Y,B,O,R,P,Y,a
B,P,Y,Y,B,R,R,O,G,a
B,B,O,G,R,P,Y,R,Y,a
B,P,R,Y,B,O,G,Y,R,a
B,O,B,P,G,Y,R,R,Y,a
B,B,R,O,R,Y,G,P,Y,a
B,G,R,Y,P,R,B,O,Y,a
B,P,Y,R,R,O,Y,B,G,a
B,B,Y,R,Y,G,O,P,R,a
B,B,R,G,R,P,Y,Y,O,a
G,O,R,P,B,B,Y,Y,R,a
B,P,Y,R,Y,B,R,G,O,a
B,B,R,Y,G,P,Y,O,R,a
B,O,G,Y,R,P,B,R,Y,a
O,P,Y,Y,B,G,R,B,R,a
B,B,R,G,R,Y,P,O,Y,a
B,G,R,R,Y,P,O,B,Y,a
B,B,Y,G,P,R,Y,O,R,a
B,G,Y,R,B,O,Y,R,P,a
B,G,R,Y,Y,O,R,B,P,a
B,B,Y,G,R,O,R,Y,P,a
B,O,Y,P,G,B,R,R,Y,a
B,G,P,R,B,O,Y,R,Y,a
B,B,R,Y,R,P,O,G,Y,a
B,B,O,P,Y,G,Y,R,R,a
B,O,R,Y,B,G,Y,R,P,a
B,G,R,P,Y,B,O,R,Y,a
B,B,R,R,Y,P,Y,G,O,a
B,G,P,Y,Y,R,R,O,B,a
B,B,G,O,R,P,Y,R,Y,a
B,B,R,P,O,R,Y,G,Y,a
B,O,Y,P,R,R,B,Y,G,a
O,B,R,Y,B,P,Y,G,R,a
B,G,R,Y,B,Y,O,P,R,a
B,O,R,Y,G,P,B,R,Y,a
B,G,Y,R,P,O,R,B,Y,a
B,B,Y,O,P,G,Y,R,R,a
B,B,Y,G,R,R,Y,P,O,a
B,B,Y,O,P,G,R,R,Y,a
B,P,G,R,R,B,Y,O,Y,a
B,B,Y,R,R,O,P,G,Y,a
B,B,R,P,Y,O,G,R,Y,a
