c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,P,B,R,W,Y,P,O,Y,a
G,O,P,P,W,Y,Y,B,R,a
G,B,R,P,W,R,G,O,Y,a
G,P,R,Y,W,O,Y,B,P,a
B,B,O,G,W,O,R,R,Y,a
B,B,Y,O,W,G,R,R,O,a
B,P,R,Y,W,B,Y,P,O,a
B,B,O,R,W,Y,R,O,G,a
B,B,O,Y,W,R,P,O,Y,a
O,P,R,Y,W,B,Y,B,P,a
B,B,R,G,W,R,O,O,G,a
B,O,Y,R,W,G,P,B,O,a
P,B,Y,P,W,R,R,G,Y,a
B,B,Y,O,W,O,Y,R,P,a
B,P,R,R,W,G,P,Y,Y,a
G,G,Y,R,W,B,R,P,Y,a
B,O,O,P,W,R,G,Y,B,a
B,B,G,O,W,G,Y,R,R,a
G,G,R,Y,W,B,R,O,P,a
B,O,G,P,W,Y,R,R,G,a
G,B,R,Y,W,P,O,R,Y,a
B,O,R,Y,W,P,Y,B,G,a
O,B,Y,O,W,P,Y,B,P,a
G,B,R,P,W,R,O,G,Y,a
B,G,O,O,W,Y,P,B,R,a
B,P,Y,Y,W,R,G,R,P,a
G,B,R,B,W,O,Y,P,O,a
B,B,G,O,W,R,P,Y,Y,a
P,B,P,G,W,R,Y,Y,R,a
B,G,Y,R,W,R,O,P,G,a
O,G,R,Y,W,B,Y,P,P,a
B,R,P,Y,W,O,Y,B,P,a
B,O,Y,P,W,Y,B,R,O,a
B,R,O,Y,W,G,R,B,G,a
B,G,R,O,W,B,O,R,Y,a
B,G,O,Y,W,B,R,O,R,a
B,B,P,Y,W,P,Y,O,O,a
G,B,O,O,W,P,Y,B,R,a
G,B,R,O,W,Y,G,P,R,a
B,P,G,Y,W,O,O,B,R,a
B,B,R,G,W,O,Y,Y,P,a
G,P,O,P,W,Y,R,B,Y,a
G,G,P,P,W,R,Y,Y,R,a
B,B,O,G,W,Y,R,O,P,a
G,B,Y,O,W,B,R,G,R,a
B,G,P,Y,W,R,B,O,O,a
O,G,P,R,W,P,Y,B,Y,a
G,B,R,Y,W,R,P,O,Y,a
